2025-12-18 14:15:23 | DEBUG    | document_parser | PDF 解析成功: E:/apps/xampp/htdocs/graduate/doc/lanqiao/第十七届蓝桥杯大赛软件赛竞赛规则及说明\第十七届蓝桥杯大赛软件赛（网络安全科目）竞赛规则及说明.pdf, 提取 3578 字符
2025-12-18 14:15:23 | DEBUG    | chroma_service | 删除父文档 6a93c58a0cbb2bc2dc31c1daafbb9e14 的 26 个chunks
2025-12-18 14:15:35 | DEBUG    | document_parser | PDF 解析成功: E:/apps/xampp/htdocs/graduate/doc/lanqiao/第十七届蓝桥杯大赛软件赛竞赛规则及说明\第十七届蓝桥杯大赛软件赛（软件测试科目）竞赛规则及说明.pdf, 提取 6192 字符
2025-12-18 14:15:35 | DEBUG    | chroma_service | 删除父文档 f23c3c6be8a07cdb8af8508142895bcf 的 42 个chunks
2025-12-18 15:58:47 | DEBUG    | chroma | 搜索相似文档: query=蓝桥软件赛..., n_results=1
2025-12-18 15:58:49 | DEBUG    | reranker_service |   结果 1: idx=0, score=0.9898
2025-12-18 15:58:49 | DEBUG    | reranker_service |   结果 2: idx=1, score=0.0113
2025-12-18 15:58:49 | DEBUG    | reranker_service |   结果 3: idx=2, score=0.0098
2025-12-18 16:31:38 | DEBUG    | chroma | 搜索相似文档: query=蓝桥软件赛..., n_results=1
2025-12-18 16:31:40 | DEBUG    | reranker_service |   结果 1: idx=0, score=0.9898
2025-12-18 16:31:40 | DEBUG    | reranker_service |   结果 2: idx=1, score=0.0113
2025-12-18 16:31:40 | DEBUG    | reranker_service |   结果 3: idx=2, score=0.0098
